AID,CID,InChIKey,SMILES,GeneID,Symbol,UniProtKB
1274833,5281426,ORHBXUUXSCNDEV-UHFFFAOYSA-N,C1=CC(=CC2=C1C=CC(=O)O2)O,768,CA9,Q16790
1671188,6129,CVXBEEMKQHEXEN-UHFFFAOYSA-N,CNC(=O)OC1=CC=CC2=CC=CC=C21,84706,GPT2,Q8TD30
1224839,7005,KJCVRFUGPWSIIH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC=C2O,9970,NR1I3,Q14994
720659,33528,JPMIIZHYYWMHDT-UHFFFAOYSA-N,CCCCCCCCN1C(=O)C=CS1,8856,NR1I2,O75469
720552,9153,FTOVXSOBNPWTSH-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,7157,TP53,P04637
1619193,1183,MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O,51592,TRIM33,Q9UPN9
1619194,1183,MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O,8805,TRIM24,O15164
686978,8606,LDVVMCZRFWMZSG-UHFFFAOYSA-N,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,55775,TDP1,Q9NUW8
1671201,5284469,OEJNXTAZZBRGDN-UHFFFAOYSA-N,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl,1576,CYP3A4,P08684
1259394,9153,FTOVXSOBNPWTSH-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,2100,ESR2,Q92731
1671197,29393,UNAHYJYOSSSJHH-UHFFFAOYSA-N,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],1557,CYP2C19,P33261
743053,8846,CQEYYJKEWSMYFG-UHFFFAOYSA-N,CCCCOC(=O)C=C,367,AR,P10275
588579,1057,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C1=CC(=C(C(=C1)O)O)O,51426,POLK,Q9UBT6
743219,7847,HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,4780,NFE2L2,Q16236
