CanonicalSMILES,InChIKey,UniProtKB
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,P05181
C1=CC(=C(C=C1CCN)O)O,VYFYYTLLBUKUHU-UHFFFAOYSA-N,P05181
CC(CC1=CC=CC=C1)NC,MYWUZJCMWCOHBA-VIFPVBQESA-N,P05181
[Cu],RYGMFSIKBFXOCR-UHFFFAOYSA-N,P05181
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,RCINICONZNJXQF-MZXODVADSA-N,P05181
CN1C=CC(=C2C3=NC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=C[N+](=CC=C7)C)C8=CC=[N+](C=C8)C)C=C4)C9=C[N+](=CC=C9)C)C=C3)C=C1.[Mn+2],PRZBRMHXDVOWDL-UHFFFAOYSA-N,P05181
CCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,HMFDVPSBWOHOAP-YUMQZZPRSA-N,P05181
COC1=C2C(=C(C(=C1)CO)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2,KXMTXZACPVCDMH-UHFFFAOYSA-N,P05181
[O-][Cr](=O)(=O)[O-].[Na+].[Na+],PXLIDIMHPNPGMH-UHFFFAOYSA-N,P05181
C1=CC=[N+](C(=C1)C=NO)COC[N+]2=CC=C(C=C2)C(=O)N.[Cl-].[Cl-],QELSIJXWEROXOE-UHFFFAOYSA-N,P05181
C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,MEFKEPWMEQBLKI-AIRLBKTGSA-N,P05181
CC1=C(SC=N1)CCCl,PCLITLDOTJTVDJ-UHFFFAOYSA-N,P05181
