PubchemCTD,CID,CanonicalSMILES,InChIKey
C046926,9869652,C1COCCN1C2C(C(CC2=O)OCC3=CC=C(C=C3)C4=CC=CC=C4)CCC=CCCC(=O)O,IOFUFYLETVNNRF-FKQKSGFWSA-N
D009534,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N
C002471,11969542,CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5C3(CCC(C5)O)C)C)C6=COC(=O)C=C6,SCULJPGYOQQXTK-OLRINKBESA-N
D019813,1322,CNNC,DIIIISSCIXVANO-UHFFFAOYSA-N
C013015,72281,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,AIONOLUJZLIMTK-AWEZNQCLSA-N
D004145,5281613,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,GZSOSUNBTXMUFQ-YFAPSIMESA-N
C083806,442021,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,RRKTZKIUPZVBMF-IBTVXLQLSA-N
D013458,1119,O=S=O,RAHZWNYVWXNFOC-UHFFFAOYSA-N
C020326,27880,C(C(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Fe+3],FXDLIMJMHVKXAR-UHFFFAOYSA-K
C005466,64945,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,WCGUUGGRBIKTOS-GPOJBZKASA-N
C033585,3001662,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1(C)O)OC)OC)OC)OC)OCO3,ZWRRJEICIPUPHZ-MYODQAERSA-N
D019695,14982,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,LPLVUJXQOOQHMX-QWBHMCJMSA-N
C001803,137994,CC1(CC(CC(N1[O])(C)C)O)C,UZFMOKQJFYMBGY-UHFFFAOYSA-N
D024483,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N
C032668,21694,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-],ALRLPDGCPYIVHP-UHFFFAOYSA-N
D002599,637760,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,DQFBYFPFKXHELB-VAWYXSNFSA-N
D004229,19001,C(C(C(CS)O)O)S,VHJLVAABSRFDPM-UHFFFAOYSA-N
C010643,40634,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C,GLEVLJDDWXEYCO-UHFFFAOYSA-N
D001599,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,YBHILYKTIRIUTE-UHFFFAOYSA-N
D006812,90472028,C1C2C=CC1C(C2C(=O)O)(C(=O)O)[N+](=O)[O-],QJZYHAIUNVAGQP-UHFFFAOYSA-N
